1	5	5
1	7	3
1	11	4
1	26	5
1	48	4
1	50	3
1	59	4
1	78	3
1	94	5
1	103	3
1	106	4
1	108	5
1	109	4
1	121	5
1	122	5
1	124	5
1	127	5
1	150	4
1	158	3
1	162	4
1	192	4
1	200	4
1	209	5
1	245	4
1	247	5
1	258	5
1	264	4
1	270	5
1	344	4
1	345	5
1	374	4
1	506	5
2	4697	4
2	11406	2
3	72	0.5
3	208	0.5
3	209	0.5
3	321	0.5
4	19	2
4	26	5
4	45	2
4	80	4
4	91	5
4	92	5
4	93	5
4	106	2
4	108	5
4	125	5
4	150	4
4	158	3
4	186	2
4	215	5
4	239	5
4	277	2
4	306	4
4	316	4
4	402	3
4	426	2
5	5	4
5	11	4
5	15	3
5	29	5
5	30	3
5	38	2
5	41	3
5	59	5
6	1	3
6	5	1
6	6	4
6	10	3
6	11	5
6	14	3
6	15	4
6	16	5
6	17	3
6	18	2
6	21	4
6	23	5
6	24	3
6	25	4
6	27	3
6	31	3
6	33	3
6	34	4
6	35	5
6	36	3
6	37	4
6	38	4
6	41	3
6	44	4
6	45	4
6	46	3
6	48	5
6	49	3
6	50	5
6	51	3
6	52	3
6	54	3
6	59	5
6	64	1
6	70	4
6	71	3
6	78	5
6	83	5
6	88	3
7	5	4.5
7	15	4.5
7	26	5
7	38	3
7	48	5
7	75	4
7	78	4.5
7	92	3
7	121	4
7	122	4.5
7	124	5
7	127	5
7	161	4
7	264	3
7	431	0.5
7	437	4.5
7	470	1.5
7	836	3.5
7	887	3.5
7	897	2.5
7	4573	0.5
7	4653	1
8	1	2
8	5	5
8	11	3
8	15	4
8	38	5
8	44	3
8	48	4
8	50	2
8	59	5
9	127	5
9	230	5
9	589	4
10	562	3
10	897	1
10	6095	2
10	6125	2.5
10	7233	3.5
10	7272	3.5
10	7445	3
10	8881	3
10	9407	4.5
10	9551	3
10	13602	5
10	14011	5
11	1	3
11	11	5
11	15	5
11	17	4
11	38	4
11	48	4
11	78	4
11	110	3
11	121	4
11	137	3
11	184	4
12	83	4
12	92	4.5
12	210	3.5
12	562	4
13	159	4
13	330	4
14	11	5
14	15	4
14	48	3
14	54	3
14	59	4
15	26	5
15	78	3.5
15	120	5
15	121	5
15	124	4
15	127	5
15	215	5
15	351	5
15	437	4
15	472	5
15	836	2.5
15	4878	4.5
15	9150	3
15	9661	3
15	13413	4
15	16098	3.5
16	5	4
16	26	3
16	75	4.5
16	123	4
16	126	4
16	168	3.5
16	249	3
16	300	4
16	635	3.5
17	5	4.5
17	11	4.5
17	15	3.5
17	26	5
17	48	4.5
17	59	4.5
17	75	4.5
17	78	4
17	91	3.5
17	109	4.5
17	110	3.5
17	121	5
17	124	5
17	127	4.5
17	635	5
17	687	3.5
18	5	5
18	7	3.5
18	11	4.5
18	18	4
18	26	4
18	37	3
18	38	2.5
18	48	3.5
18	50	3.5
18	59	4
18	78	4
18	102	3.5
18	108	4.5
18	121	4.5
18	124	4
18	126	4
18	127	4
18	137	3.5
18	158	3.5
18	200	4
18	241	3.5
18	242	4
18	247	3
18	249	3.5
18	512	4.5
18	630	4.5
18	644	4.5
18	687	4
18	836	3.5
18	895	4
18	3246	3.5
18	3415	3.5
18	4720	3
18	4878	4.5
18	5154	4.5
18	5529	4.5
18	5764	3.5
18	6004	3.5
18	6964	4
18	7451	4.5
18	8619	3.5
18	8688	3
18	8814	4
18	9060	4
18	9150	4
18	9661	3
18	11406	3.5
18	11890	3.5
18	12290	4
18	12292	3
18	12862	3.5
18	13413	4.5
18	14421	4
18	15711	4.5
18	16235	3.5
19	1	2
19	7	2
19	17	3
19	26	4
19	33	3
19	35	2
19	37	3
19	38	3
19	41	2
19	42	2
19	44	3
19	45	2
19	48	2
19	49	2
19	50	2
19	52	2
19	54	1
19	61	3
19	64	1
19	72	4
19	81	1
19	83	2
19	88	2
19	91	4
19	93	3
19	102	3
19	120	3
19	121	3
19	124	4
19	127	4
19	133	2
19	138	3
19	150	2
19	155	2
19	158	2
19	159	1
19	161	3
19	169	1
19	192	3
19	197	3
19	200	3
19	204	2
19	206	3
19	210	3
19	211	3
19	214	4
19	215	3
19	232	3
19	245	2
19	247	3
19	249	3
19	255	3
19	264	3
19	270	4
19	271	2
19	272	1
19	284	2
19	286	2
19	287	3
19	290	2
19	304	3
19	307	5
19	319	1
19	330	3
19	337	2
19	340	3
19	344	2
19	345	3
19	350	2
19	351	3
19	355	3
19	374	2
19	377	2
20	72	5
20	101	3
20	103	3
20	138	5
20	208	4
20	209	3
20	210	3.5
20	214	4
20	230	5
20	243	2
20	270	4.5
20	277	2.5
20	330	3
20	341	4
20	351	3
20	399	0.5
20	409	3.5
20	427	0.5
20	431	4
20	437	3
20	470	4
20	472	3.5
20	499	4
20	511	3
20	563	3.5
20	617	4
21	1	5
21	17	2
21	26	4.5
21	37	5
21	48	4
21	50	2.5
